название;ссылка;описание;тэг
Общие остатки можно загружать через API;https://market.yandex.ru/partners/news/obschie-ostatki-mozhno-zagruzhat-cherez-api;Если ваши товары физически хранятся на одном складе, а на Маркете продаются с нескольких, объедините такие склады в группу. Недавно рассказывали, как это упрощает ручную работу с остатками по разным моделям — а теперь упростит и автоматическую.;yandex
Новинки в кабинете: состав платежа в деталях, акт сверки и вебинар по 1С для бухгалтеров;https://market.yandex.ru/partners/news/novinki-v-kabinete-sostav-platezha-v-detalyakh-akt-sverki-i-vebinar-po-1s-dlya-bukhgalterov;Рассказываем о новинках на Маркете, которые упростят работу с платежами и документами, а ещё помогут рассчитать затраты на услуги Маркета. Приятный бонус для бухгалтеров — впервые проводим вебинар по 1С. ;yandex
В рекламных кампаниях появилась доля показов для рекомендованных ставок;https://market.yandex.ru/partners/news/v-reklamnykh-kampaniyakh-poyavilas-dolya-pokazov-dlya-rekomendovannykh-stavok;В рекламных кампаниях для продавцов теперь можно увидеть, какую долю показов на выделенных местах могут принести рекомендованные ставки. А ещё все рекомендации — и по ставкам, и по цене — можно смотреть на странице кампаний. Всё это — чтобы вам было проще оценивать эффективность кампаний и корректировать настройки.;yandex
Вы предложили — мы сделали;https://market.yandex.ru/partners/news/vy-predlozhili-my-sdelali;Сегодня в нашем пятничном дайджесте — приятные новости про каталог, рекламные кампании, работу с возвратами и непринятыми на складе товарами.;yandex
Получайте больше заказов благодаря постоплате;https://market.yandex.ru/partners/news/poluchayte-bolshe-zakazov-blagodarya-postoplate;Слышим, что магазинам важно настраивать разные способы оплаты как в домашнем, так и в других регионах. Поэтому возвращаем оплату заказа при получении.;yandex
О работе с подменными номерами;https://market.yandex.ru/partners/news/o-rabote-s-podmennymi-nomerami;Собрали несколько важных новостей про общение с покупателями.;yandex
Работайте по любой модели в мобильном приложении на Android;https://market.yandex.ru/partners/news/rabotayte-po-lyuboy-modeli-v-mobilnom-prilozhenii-na-android;Долгожданное обновление для Android: если раньше обработка заказов в приложении была доступна только для экспресс-доставки, то теперь это можно делать и по модели DBS. А обновлять цены, остатки, скрывать товары и возвращать их на витрину — по всем моделям.;yandex
Экономьте на логистике благодаря поставкам через транзитные склады;https://market.yandex.ru/partners/news/ekonomte-na-logistike-blagodarya-postavkam-cherez-tranzitnye-sklady;Транзитные поставки могут помочь прилично сэкономить на доставке, если у вас есть продажи в других регионах. Привозите товары на транзитный склад, а мы отвезём их на любой другой склад Маркета в России.;yandex
Новые рекомендации ставок в рекламных кампаниях для продавцов;https://market.yandex.ru/partners/news/novye-rekomendatsii-stavok-v-reklamnykh-kampaniyakh-dlya-prodavtsov;На странице создания и редактирования рекламных кампаний появились новые рекомендации. Они показывают, какую долю показов получат предложения в зависимости от выбранной ставки.;yandex
Промокоды за работу над контентом: продолжаем акцию;https://market.yandex.ru/partners/news/promokody-za-rabotu-nad-kontentom-prodolzhaem-aktsiyu;Продлеваем акцию про промокоды за контент — потому что видим, что вы охотно в ней участвуете. Улучшайте карточки до конца августа, а мы поможем увеличить продажи. Для этого продолжим давать покупателям промокод на скидку 5% за счёт Маркета.;yandex
